TwoOpt,BestInsert,IndepCyclique0,
( 580 ) [4880440,93442,143059,416377,];[4908689,101577,155438,462102,];[5055874,236531,409981,2319090,];
( 590 ) [4897412,98295,151539,517032,];[4920862,112735,173633,571420,];[5321681,278576,505686,3045769,];
( 600 ) [4913350,100498,154299,506675,];[4914480,113557,173644,474656,];[5143727,288494,506038,2296328,];
( 610 ) [4926075,101915,156258,481569,];[4953485,110947,169167,374132,];[5263896,295768,533199,3064248,];
( 620 ) [4909383,108392,166617,455553,];[4926360,118543,181224,389313,];[5550625,390664,731592,4070184,];
( 630 ) [4901008,112702,172770,612433,];[4906764,126106,192038,580292,];[5354950,350861,634162,3775625,];
( 640 ) [4917649,117160,179352,484360,];[4918723,130070,196944,515022,];[5520972,460149,859785,4293857,];
( 650 ) [4935684,117451,180870,646124,];[4949680,129489,197142,425585,];[5564696,389126,729141,3634461,];
( 660 ) [4937183,116579,178081,556464,];[4947352,140057,212544,644278,];[5702787,463408,858250,4377755,];
( 670 ) [4978803,120310,183367,820245,];[4996988,143223,217508,555803,];[5567545,477202,889242,4649758,];
( 680 ) [4950500,120876,185256,610453,];[4969114,150699,230276,652234,];[5597863,442573,847706,4730521,];
( 690 ) [4956240,128963,196933,608723,];[5000068,150546,228899,685912,];[5705599,518497,981399,4856944,];
