{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:6863735,totalTransportTime:1872121427,nbPersonneTransportees:3602,failed:false,maxTransportTime:6247289}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:0,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:92838,monteeIdId:1,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:2,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:34494,monteeIdId:2,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:3,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:155306,monteeIdId:3,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:157706,monteeIdId:3,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:33908,heureSortieAscenseur:54774,monteeIdId:1,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:30565,heureSortieAscenseur:45709,monteeIdId:0,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:3,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:40797,heureSortieAscenseur:57397,monteeIdId:3,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:39597,heureSortieAscenseur:56197,monteeIdId:3,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:41997,heureSortieAscenseur:58597,monteeIdId:3,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:38397,monteeIdId:3,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:78375,heureSortieAscenseur:148164,monteeIdId:0,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:156506,monteeIdId:3,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:24197,heureSortieAscenseur:88197,monteeIdId:3,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:46909,heureSortieAscenseur:90231,monteeIdId:0,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:112287,heureSortieAscenseur:150564,monteeIdId:0,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:100431,heureSortieAscenseur:149364,monteeIdId:0,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:95238,monteeIdId:1,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:94038,monteeIdId:1,heureArrivee:24050}
