{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:8402012,totalTransportTime:4273470929,nbPersonneTransportees:3602,failed:false,maxTransportTime:7911392}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:3,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:148971,monteeIdId:1,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:2,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:34494,monteeIdId:2,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:0,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:143106,monteeIdId:0,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:145506,monteeIdId:0,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:191495,heureSortieAscenseur:227951,monteeIdId:0,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:49301,heureSortieAscenseur:68045,monteeIdId:0,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:0,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:37901,heureSortieAscenseur:65645,monteeIdId:0,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:39101,heureSortieAscenseur:66845,monteeIdId:0,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:36701,heureSortieAscenseur:64445,monteeIdId:0,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:44597,monteeIdId:3,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:36722,heureSortieAscenseur:56255,monteeIdId:1,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:144306,monteeIdId:0,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:30397,heureSortieAscenseur:60594,monteeIdId:3,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:29197,heureSortieAscenseur:83850,monteeIdId:3,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:105906,heureSortieAscenseur:132372,monteeIdId:3,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:94050,heureSortieAscenseur:131172,monteeIdId:3,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:151371,monteeIdId:1,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:150171,monteeIdId:1,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:153771,heureSortieAscenseur:187104,monteeIdId:1,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:141439,monteeIdId:3,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:54694,heureSortieAscenseur:93766,monteeIdId:2,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:143839,heureSortieAscenseur:204095,monteeIdId:3,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:146239,heureSortieAscenseur:170439,monteeIdId:3,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:57094,heureSortieAscenseur:119950,monteeIdId:2,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:58294,heureSortieAscenseur:121150,monteeIdId:2,heureArrivee:35618}
{ascStackId:0,heureEntreeAscenseur:55894,heureSortieAscenseur:118750,monteeIdId:2,heureArrivee:35618}
{ascStackId:1,heureEntreeAscenseur:145039,heureSortieAscenseur:188639,monteeIdId:3,heureArrivee:36240}
{ascStackId:0,heureEntreeAscenseur:58655,heureSortieAscenseur:71711,monteeIdId:1,heureArrivee:37241}
{ascStackId:0,heureEntreeAscenseur:57455,heureSortieAscenseur:98694,monteeIdId:1,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:59855,heureSortieAscenseur:99894,monteeIdId:1,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:76645,heureSortieAscenseur:203351,monteeIdId:0,heureArrivee:42135}
{ascStackId:0,heureEntreeAscenseur:101094,heureSortieAscenseur:133782,monteeIdId:1,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:61794,heureSortieAscenseur:128772,monteeIdId:3,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:88494,heureSortieAscenseur:132582,monteeIdId:1,heureArrivee:46739}
{ascStackId:0,heureEntreeAscenseur:122350,heureSortieAscenseur:152675,monteeIdId:2,heureArrivee:47490}
{ascStackId:1,heureEntreeAscenseur:79566,heureSortieAscenseur:135232,monteeIdId:2,heureArrivee:49866}
{ascStackId:0,heureEntreeAscenseur:208883,heureSortieAscenseur:228480,monteeIdId:1,heureArrivee:50054}
{ascStackId:0,heureEntreeAscenseur:117438,heureSortieAscenseur:136182,monteeIdId:1,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:101629,heureSortieAscenseur:116773,monteeIdId:0,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:451975,heureSortieAscenseur:490775,monteeIdId:0,heureArrivee:52143}
{ascStackId:0,heureEntreeAscenseur:71994,heureSortieAscenseur:129972,monteeIdId:3,heureArrivee:52143}
{ascStackId:1,heureEntreeAscenseur:67102,heureSortieAscenseur:152571,monteeIdId:1,heureArrivee:52334}
{ascStackId:1,heureEntreeAscenseur:63375,heureSortieAscenseur:142639,monteeIdId:3,heureArrivee:53039}
{ascStackId:0,heureEntreeAscenseur:106894,heureSortieAscenseur:151475,monteeIdId:2,heureArrivee:53840}
{ascStackId:0,heureEntreeAscenseur:365052,heureSortieAscenseur:390985,monteeIdId:0,heureArrivee:54464}
{ascStackId:0,heureEntreeAscenseur:200752,heureSortieAscenseur:227218,monteeIdId:3,heureArrivee:57255}
{ascStackId:1,heureEntreeAscenseur:123832,heureSortieAscenseur:172280,monteeIdId:2,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:95373,heureSortieAscenseur:146706,monteeIdId:0,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:125032,heureSortieAscenseur:173480,monteeIdId:2,heureArrivee:57284}
{ascStackId:0,heureEntreeAscenseur:74245,heureSortieAscenseur:177239,monteeIdId:0,heureArrivee:60232}
{ascStackId:0,heureEntreeAscenseur:201952,heureSortieAscenseur:228418,monteeIdId:3,heureArrivee:60626}
{ascStackId:0,heureEntreeAscenseur:102294,heureSortieAscenseur:134982,monteeIdId:1,heureArrivee:61335}
{ascStackId:1,heureEntreeAscenseur:122632,heureSortieAscenseur:171080,monteeIdId:2,heureArrivee:61632}
{ascStackId:0,heureEntreeAscenseur:75445,heureSortieAscenseur:89773,monteeIdId:0,heureArrivee:63180}
{ascStackId:0,heureEntreeAscenseur:233464,heureSortieAscenseur:274058,monteeIdId:2,heureArrivee:72336}
{ascStackId:0,heureEntreeAscenseur:137382,heureSortieAscenseur:198683,monteeIdId:1,heureArrivee:75095}
{ascStackId:1,heureEntreeAscenseur:1333172,heureSortieAscenseur:1371638,monteeIdId:1,heureArrivee:78005}
{ascStackId:1,heureEntreeAscenseur:103766,heureSortieAscenseur:169880,monteeIdId:2,heureArrivee:78065}
{ascStackId:0,heureEntreeAscenseur:179639,heureSortieAscenseur:226751,monteeIdId:0,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:178439,heureSortieAscenseur:225551,monteeIdId:0,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:133572,heureSortieAscenseur:199552,monteeIdId:3,heureArrivee:86115}
{ascStackId:1,heureEntreeAscenseur:162371,heureSortieAscenseur:225901,monteeIdId:1,heureArrivee:89647}
{ascStackId:0,heureEntreeAscenseur:239664,heureSortieAscenseur:275258,monteeIdId:2,heureArrivee:97991}
{ascStackId:1,heureEntreeAscenseur:147906,heureSortieAscenseur:244847,monteeIdId:0,heureArrivee:98020}
{ascStackId:0,heureEntreeAscenseur:220864,heureSortieAscenseur:271658,monteeIdId:2,heureArrivee:100820}
{ascStackId:1,heureEntreeAscenseur:156506,heureSortieAscenseur:234647,monteeIdId:0,heureArrivee:101413}
{ascStackId:1,heureEntreeAscenseur:215701,heureSortieAscenseur:339936,monteeIdId:1,heureArrivee:102635}
{ascStackId:1,heureEntreeAscenseur:214247,heureSortieAscenseur:302540,monteeIdId:0,heureArrivee:103351}
{ascStackId:1,heureEntreeAscenseur:163571,heureSortieAscenseur:204301,monteeIdId:1,heureArrivee:104642}
{ascStackId:1,heureEntreeAscenseur:157706,heureSortieAscenseur:181906,monteeIdId:0,heureArrivee:105157}
{ascStackId:0,heureEntreeAscenseur:179152,heureSortieAscenseur:224818,monteeIdId:3,heureArrivee:105379}
{ascStackId:0,heureEntreeAscenseur:185352,heureSortieAscenseur:226018,monteeIdId:3,heureArrivee:105379}
{ascStackId:0,heureEntreeAscenseur:449575,heureSortieAscenseur:488375,monteeIdId:0,heureArrivee:107197}
{ascStackId:0,heureEntreeAscenseur:286008,heureSortieAscenseur:338602,monteeIdId:1,heureArrivee:107315}
{ascStackId:1,heureEntreeAscenseur:228869,heureSortieAscenseur:282797,monteeIdId:2,heureArrivee:108576}
{ascStackId:0,heureEntreeAscenseur:155075,heureSortieAscenseur:231064,monteeIdId:2,heureArrivee:111982}
{ascStackId:1,heureEntreeAscenseur:174680,heureSortieAscenseur:206813,monteeIdId:2,heureArrivee:112982}
{ascStackId:1,heureEntreeAscenseur:159971,heureSortieAscenseur:203101,monteeIdId:1,heureArrivee:113133}
{ascStackId:0,heureEntreeAscenseur:156275,heureSortieAscenseur:205336,monteeIdId:2,heureArrivee:113579}
{ascStackId:0,heureEntreeAscenseur:138347,heureSortieAscenseur:153875,monteeIdId:2,heureArrivee:115108}
{ascStackId:0,heureEntreeAscenseur:186827,heureSortieAscenseur:227280,monteeIdId:1,heureArrivee:115108}
{ascStackId:0,heureEntreeAscenseur:185627,heureSortieAscenseur:226080,monteeIdId:1,heureArrivee:115108}
{ascStackId:1,heureEntreeAscenseur:161171,heureSortieAscenseur:252884,monteeIdId:1,heureArrivee:115144}
{ascStackId:1,heureEntreeAscenseur:189839,heureSortieAscenseur:235628,monteeIdId:3,heureArrivee:122909}
{ascStackId:1,heureEntreeAscenseur:192239,heureSortieAscenseur:238028,monteeIdId:3,heureArrivee:122909}
{ascStackId:0,heureEntreeAscenseur:340596,heureSortieAscenseur:388585,monteeIdId:0,heureArrivee:126047}
{ascStackId:0,heureEntreeAscenseur:342250,heureSortieAscenseur:366716,monteeIdId:2,heureArrivee:126349}
{ascStackId:1,heureEntreeAscenseur:246047,heureSortieAscenseur:304940,monteeIdId:0,heureArrivee:131532}
{ascStackId:1,heureEntreeAscenseur:154106,heureSortieAscenseur:197903,monteeIdId:0,heureArrivee:132495}
{ascStackId:0,heureEntreeAscenseur:139772,heureSortieAscenseur:163752,monteeIdId:3,heureArrivee:133166}
{ascStackId:1,heureEntreeAscenseur:180880,heureSortieAscenseur:254597,monteeIdId:2,heureArrivee:134618}
{ascStackId:0,heureEntreeAscenseur:175427,heureSortieAscenseur:224880,monteeIdId:1,heureArrivee:134868}
{ascStackId:0,heureEntreeAscenseur:140972,heureSortieAscenseur:177952,monteeIdId:3,heureArrivee:135297}
{ascStackId:1,heureEntreeAscenseur:183280,heureSortieAscenseur:244397,monteeIdId:2,heureArrivee:138844}
{ascStackId:1,heureEntreeAscenseur:428330,heureSortieAscenseur:513175,monteeIdId:2,heureArrivee:139115}
{ascStackId:1,heureEntreeAscenseur:231269,heureSortieAscenseur:285197,monteeIdId:2,heureArrivee:139115}
{ascStackId:1,heureEntreeAscenseur:429530,heureSortieAscenseur:514375,monteeIdId:2,heureArrivee:139115}
{ascStackId:0,heureEntreeAscenseur:229680,heureSortieAscenseur:272880,monteeIdId:1,heureArrivee:147068}
{ascStackId:1,heureEntreeAscenseur:155306,heureSortieAscenseur:213047,monteeIdId:0,heureArrivee:147883}
{ascStackId:0,heureEntreeAscenseur:341050,heureSortieAscenseur:365516,monteeIdId:2,heureArrivee:148223}
{ascStackId:0,heureEntreeAscenseur:343450,heureSortieAscenseur:367916,monteeIdId:2,heureArrivee:148223}
{ascStackId:0,heureEntreeAscenseur:387336,heureSortieAscenseur:428669,monteeIdId:1,heureArrivee:148223}
{ascStackId:0,heureEntreeAscenseur:163675,heureSortieAscenseur:219664,monteeIdId:2,heureArrivee:148541}
{ascStackId:0,heureEntreeAscenseur:162475,heureSortieAscenseur:218464,monteeIdId:2,heureArrivee:148620}
{ascStackId:1,heureEntreeAscenseur:271294,heureSortieAscenseur:400221,monteeIdId:3,heureArrivee:151023}
{ascStackId:0,heureEntreeAscenseur:195136,heureSortieAscenseur:252792,monteeIdId:2,heureArrivee:153850}
{ascStackId:1,heureEntreeAscenseur:230069,heureSortieAscenseur:283997,monteeIdId:2,heureArrivee:154030}
{ascStackId:1,heureEntreeAscenseur:501014,heureSortieAscenseur:575553,monteeIdId:0,heureArrivee:155126}
{ascStackId:1,heureEntreeAscenseur:502214,heureSortieAscenseur:576753,monteeIdId:0,heureArrivee:155126}
{ascStackId:1,heureEntreeAscenseur:314950,heureSortieAscenseur:402621,monteeIdId:3,heureArrivee:155126}
{ascStackId:0,heureEntreeAscenseur:238280,heureSortieAscenseur:299136,monteeIdId:1,heureArrivee:161363}
{ascStackId:1,heureEntreeAscenseur:236101,heureSortieAscenseur:341136,monteeIdId:1,heureArrivee:161960}
{ascStackId:0,heureEntreeAscenseur:267807,heureSortieAscenseur:288190,monteeIdId:0,heureArrivee:163251}
{ascStackId:1,heureEntreeAscenseur:191039,heureSortieAscenseur:236828,monteeIdId:3,heureArrivee:164351}
{ascStackId:1,heureEntreeAscenseur:205501,heureSortieAscenseur:338736,monteeIdId:1,heureArrivee:164636}
{ascStackId:1,heureEntreeAscenseur:182080,heureSortieAscenseur:217013,monteeIdId:2,heureArrivee:164717}
