{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:7098064,totalTransportTime:2019822584,nbPersonneTransportees:3602,failed:false,maxTransportTime:6450084}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:1,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:92838,monteeIdId:0,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:3,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:34494,monteeIdId:1,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:2,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:161274,monteeIdId:2,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:163674,monteeIdId:2,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:135741,heureSortieAscenseur:161407,monteeIdId:2,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:49301,heureSortieAscenseur:68045,monteeIdId:2,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:2,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:36701,heureSortieAscenseur:64445,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:37901,heureSortieAscenseur:65645,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:39101,heureSortieAscenseur:66845,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:24197,heureSortieAscenseur:39597,monteeIdId:3,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:36722,heureSortieAscenseur:56255,monteeIdId:0,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:162474,monteeIdId:2,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:98432,monteeIdId:3,heureArrivee:21377}
