{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:6950679,totalTransportTime:1863184035,nbPersonneTransportees:3602,failed:false,maxTransportTime:6372351}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:1,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:92838,monteeIdId:3,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:0,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:133701,monteeIdId:2,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:2,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:165029,monteeIdId:2,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:167429,monteeIdId:2,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:33908,heureSortieAscenseur:54774,monteeIdId:0,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:49301,heureSortieAscenseur:68045,monteeIdId:2,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:2,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:37901,heureSortieAscenseur:65645,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:39101,heureSortieAscenseur:66845,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:36701,heureSortieAscenseur:64445,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:24197,heureSortieAscenseur:39597,monteeIdId:1,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:36722,heureSortieAscenseur:56255,monteeIdId:3,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:166229,monteeIdId:2,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:55594,monteeIdId:1,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:25397,heureSortieAscenseur:71122,monteeIdId:1,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:98688,heureSortieAscenseur:136965,monteeIdId:1,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:81322,heureSortieAscenseur:135765,monteeIdId:1,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:95238,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:94038,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:98838,heureSortieAscenseur:129771,monteeIdId:3,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:133365,monteeIdId:1,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:57174,heureSortieAscenseur:93766,monteeIdId:0,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:140565,heureSortieAscenseur:236282,monteeIdId:1,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:135765,heureSortieAscenseur:174298,monteeIdId:1,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:58374,heureSortieAscenseur:110110,monteeIdId:0,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:59574,heureSortieAscenseur:111310,monteeIdId:0,heureArrivee:35618}
{ascStackId:0,heureEntreeAscenseur:55974,heureSortieAscenseur:108910,monteeIdId:0,heureArrivee:35618}
{ascStackId:1,heureEntreeAscenseur:136965,heureSortieAscenseur:214682,monteeIdId:1,heureArrivee:36240}
{ascStackId:0,heureEntreeAscenseur:57455,heureSortieAscenseur:118094,monteeIdId:3,heureArrivee:37241}
{ascStackId:0,heureEntreeAscenseur:59855,heureSortieAscenseur:173678,monteeIdId:3,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:58655,heureSortieAscenseur:172478,monteeIdId:3,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:60774,heureSortieAscenseur:140254,monteeIdId:0,heureArrivee:42135}
{ascStackId:0,heureEntreeAscenseur:57994,heureSortieAscenseur:134565,monteeIdId:1,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:56794,heureSortieAscenseur:133365,monteeIdId:1,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:114910,heureSortieAscenseur:175376,monteeIdId:0,heureArrivee:46739}
{ascStackId:0,heureEntreeAscenseur:113710,heureSortieAscenseur:174176,monteeIdId:0,heureArrivee:47490}
{ascStackId:1,heureEntreeAscenseur:79566,heureSortieAscenseur:135232,monteeIdId:0,heureArrivee:49866}
{ascStackId:0,heureEntreeAscenseur:96701,heureSortieAscenseur:165029,monteeIdId:2,heureArrivee:50054}
{ascStackId:0,heureEntreeAscenseur:146294,heureSortieAscenseur:214203,monteeIdId:3,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:145094,heureSortieAscenseur:213003,monteeIdId:3,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:122301,heureSortieAscenseur:167429,monteeIdId:2,heureArrivee:52143}
{ascStackId:0,heureEntreeAscenseur:113832,heureSortieAscenseur:138165,monteeIdId:1,heureArrivee:52143}
{ascStackId:1,heureEntreeAscenseur:65719,heureSortieAscenseur:134565,monteeIdId:1,heureArrivee:52334}
{ascStackId:1,heureEntreeAscenseur:57305,heureSortieAscenseur:96438,monteeIdId:3,heureArrivee:53039}
{ascStackId:0,heureEntreeAscenseur:106901,heureSortieAscenseur:166229,monteeIdId:2,heureArrivee:53840}
{ascStackId:0,heureEntreeAscenseur:338568,heureSortieAscenseur:377817,monteeIdId:3,heureArrivee:54464}
{ascStackId:0,heureEntreeAscenseur:512655,heureSortieAscenseur:571055,monteeIdId:1,heureArrivee:57255}
{ascStackId:1,heureEntreeAscenseur:122632,heureSortieAscenseur:173886,monteeIdId:0,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:123832,heureSortieAscenseur:175086,monteeIdId:0,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:95373,heureSortieAscenseur:168629,monteeIdId:2,heureArrivee:57284}
{ascStackId:0,heureEntreeAscenseur:70445,heureSortieAscenseur:121101,monteeIdId:2,heureArrivee:60232}
{ascStackId:0,heureEntreeAscenseur:513855,heureSortieAscenseur:572255,monteeIdId:1,heureArrivee:60626}
{ascStackId:0,heureEntreeAscenseur:125110,heureSortieAscenseur:176576,monteeIdId:0,heureArrivee:61335}
{ascStackId:1,heureEntreeAscenseur:125032,heureSortieAscenseur:176286,monteeIdId:0,heureArrivee:61632}
{ascStackId:0,heureEntreeAscenseur:69245,heureSortieAscenseur:83573,monteeIdId:2,heureArrivee:63180}
{ascStackId:0,heureEntreeAscenseur:207283,heureSortieAscenseur:244616,monteeIdId:0,heureArrivee:72336}
{ascStackId:0,heureEntreeAscenseur:142965,heureSortieAscenseur:180621,monteeIdId:1,heureArrivee:75095}
{ascStackId:1,heureEntreeAscenseur:206066,heureSortieAscenseur:256712,monteeIdId:3,heureArrivee:78005}
{ascStackId:1,heureEntreeAscenseur:103766,heureSortieAscenseur:172686,monteeIdId:0,heureArrivee:78065}
{ascStackId:0,heureEntreeAscenseur:215805,heureSortieAscenseur:274599,monteeIdId:1,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:123501,heureSortieAscenseur:168629,monteeIdId:2,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:144165,heureSortieAscenseur:251733,monteeIdId:1,heureArrivee:86115}
{ascStackId:1,heureEntreeAscenseur:97638,heureSortieAscenseur:156754,monteeIdId:3,heureArrivee:89647}
{ascStackId:0,heureEntreeAscenseur:159350,heureSortieAscenseur:215403,monteeIdId:3,heureArrivee:97991}
{ascStackId:1,heureEntreeAscenseur:100038,heureSortieAscenseur:193010,monteeIdId:3,heureArrivee:98020}
{ascStackId:0,heureEntreeAscenseur:197083,heureSortieAscenseur:243416,monteeIdId:0,heureArrivee:100820}
{ascStackId:1,heureEntreeAscenseur:106238,heureSortieAscenseur:182810,monteeIdId:3,heureArrivee:101413}
{ascStackId:1,heureEntreeAscenseur:146554,heureSortieAscenseur:253112,monteeIdId:3,heureArrivee:102635}
{ascStackId:1,heureEntreeAscenseur:136432,heureSortieAscenseur:177486,monteeIdId:0,heureArrivee:103351}
{ascStackId:1,heureEntreeAscenseur:138165,heureSortieAscenseur:199282,monteeIdId:1,heureArrivee:104642}
{ascStackId:1,heureEntreeAscenseur:174629,heureSortieAscenseur:200029,monteeIdId:2,heureArrivee:105157}
{ascStackId:0,heureEntreeAscenseur:228405,heureSortieAscenseur:276999,monteeIdId:1,heureArrivee:105379}
{ascStackId:0,heureEntreeAscenseur:227205,heureSortieAscenseur:275799,monteeIdId:1,heureArrivee:105379}
{ascStackId:0,heureEntreeAscenseur:278272,heureSortieAscenseur:314594,monteeIdId:0,heureArrivee:107197}
{ascStackId:0,heureEntreeAscenseur:112510,heureSortieAscenseur:172976,monteeIdId:0,heureArrivee:107315}
{ascStackId:1,heureEntreeAscenseur:129773,heureSortieAscenseur:169829,monteeIdId:2,heureArrivee:108576}
{ascStackId:0,heureEntreeAscenseur:129950,heureSortieAscenseur:158150,monteeIdId:3,heureArrivee:111982}
{ascStackId:1,heureEntreeAscenseur:139365,heureSortieAscenseur:164098,monteeIdId:1,heureArrivee:112982}
{ascStackId:1,heureEntreeAscenseur:175829,heureSortieAscenseur:226213,monteeIdId:2,heureArrivee:113133}
{ascStackId:0,heureEntreeAscenseur:141765,heureSortieAscenseur:157293,monteeIdId:1,heureArrivee:113579}
{ascStackId:0,heureEntreeAscenseur:151901,heureSortieAscenseur:169829,monteeIdId:2,heureArrivee:115108}
{ascStackId:0,heureEntreeAscenseur:188957,heureSortieAscenseur:242885,monteeIdId:2,heureArrivee:115108}
{ascStackId:0,heureEntreeAscenseur:199875,heureSortieAscenseur:217803,monteeIdId:3,heureArrivee:115108}
{ascStackId:1,heureEntreeAscenseur:179886,heureSortieAscenseur:270693,monteeIdId:0,heureArrivee:115144}
{ascStackId:1,heureEntreeAscenseur:235125,heureSortieAscenseur:319493,monteeIdId:0,heureArrivee:122909}
