{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:7734259,totalTransportTime:3957786757,nbPersonneTransportees:3602,failed:false,maxTransportTime:7278250}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:3,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:92838,monteeIdId:2,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:0,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:135973,monteeIdId:1,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:1,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:169506,monteeIdId:1,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:171906,monteeIdId:1,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:33908,heureSortieAscenseur:54774,monteeIdId:3,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:49301,heureSortieAscenseur:68045,monteeIdId:1,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:1,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:37901,heureSortieAscenseur:65645,monteeIdId:1,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:39101,heureSortieAscenseur:66845,monteeIdId:1,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:36701,heureSortieAscenseur:64445,monteeIdId:1,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:44597,monteeIdId:0,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:36722,heureSortieAscenseur:56255,monteeIdId:2,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:170706,monteeIdId:1,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:29197,heureSortieAscenseur:60594,monteeIdId:0,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:30397,heureSortieAscenseur:81122,monteeIdId:0,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:103178,heureSortieAscenseur:129644,monteeIdId:0,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:91322,heureSortieAscenseur:128444,monteeIdId:0,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:95238,monteeIdId:2,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:94038,monteeIdId:2,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:97638,heureSortieAscenseur:134771,monteeIdId:2,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:85719,monteeIdId:3,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:55974,heureSortieAscenseur:109719,monteeIdId:3,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:86919,heureSortieAscenseur:179031,monteeIdId:3,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:88119,heureSortieAscenseur:119719,monteeIdId:3,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:59574,heureSortieAscenseur:127263,monteeIdId:3,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:57174,heureSortieAscenseur:124863,monteeIdId:3,heureArrivee:35618}
{ascStackId:0,heureEntreeAscenseur:58374,heureSortieAscenseur:126063,monteeIdId:3,heureArrivee:35618}
{ascStackId:1,heureEntreeAscenseur:89319,heureSortieAscenseur:159775,monteeIdId:3,heureArrivee:36240}
{ascStackId:0,heureEntreeAscenseur:57455,heureSortieAscenseur:123094,monteeIdId:2,heureArrivee:37241}
{ascStackId:0,heureEntreeAscenseur:58655,heureSortieAscenseur:140607,monteeIdId:2,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:59855,heureSortieAscenseur:141807,monteeIdId:2,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:67255,heureSortieAscenseur:176007,monteeIdId:2,heureArrivee:42135}
{ascStackId:0,heureEntreeAscenseur:61794,heureSortieAscenseur:126044,monteeIdId:0,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:67994,heureSortieAscenseur:127244,monteeIdId:0,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:128463,heureSortieAscenseur:154063,monteeIdId:3,heureArrivee:46739}
{ascStackId:0,heureEntreeAscenseur:129663,heureSortieAscenseur:155263,monteeIdId:3,heureArrivee:47490}
{ascStackId:1,heureEntreeAscenseur:138844,heureSortieAscenseur:233102,monteeIdId:0,heureArrivee:49866}
{ascStackId:0,heureEntreeAscenseur:110629,heureSortieAscenseur:158573,monteeIdId:1,heureArrivee:50054}
{ascStackId:0,heureEntreeAscenseur:100429,heureSortieAscenseur:157373,monteeIdId:1,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:99229,heureSortieAscenseur:156173,monteeIdId:1,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:154407,heureSortieAscenseur:210940,monteeIdId:2,heureArrivee:52143}
{ascStackId:0,heureEntreeAscenseur:155607,heureSortieAscenseur:212140,monteeIdId:2,heureArrivee:52143}
{ascStackId:1,heureEntreeAscenseur:60034,heureSortieAscenseur:134044,monteeIdId:0,heureArrivee:52334}
{ascStackId:1,heureEntreeAscenseur:57305,heureSortieAscenseur:96438,monteeIdId:2,heureArrivee:53039}
{ascStackId:0,heureEntreeAscenseur:120829,heureSortieAscenseur:159773,monteeIdId:1,heureArrivee:53840}
{ascStackId:0,heureEntreeAscenseur:359523,heureSortieAscenseur:385456,monteeIdId:2,heureArrivee:54464}
{ascStackId:0,heureEntreeAscenseur:2559120,heureSortieAscenseur:2596453,monteeIdId:1,heureArrivee:57255}
{ascStackId:1,heureEntreeAscenseur:72634,heureSortieAscenseur:137644,monteeIdId:0,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:71434,heureSortieAscenseur:136444,monteeIdId:0,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:95373,heureSortieAscenseur:173106,monteeIdId:1,heureArrivee:57284}
{ascStackId:0,heureEntreeAscenseur:66055,heureSortieAscenseur:153207,monteeIdId:2,heureArrivee:60232}
{ascStackId:0,heureEntreeAscenseur:6576274,heureSortieAscenseur:6603940,monteeIdId:0,heureArrivee:60626}
{ascStackId:0,heureEntreeAscenseur:143007,heureSortieAscenseur:209740,monteeIdId:2,heureArrivee:61335}
{ascStackId:1,heureEntreeAscenseur:70234,heureSortieAscenseur:135244,monteeIdId:0,heureArrivee:61632}
{ascStackId:0,heureEntreeAscenseur:74245,heureSortieAscenseur:87373,monteeIdId:1,heureArrivee:63180}
{ascStackId:0,heureEntreeAscenseur:208719,heureSortieAscenseur:246463,monteeIdId:3,heureArrivee:72336}
{ascStackId:0,heureEntreeAscenseur:130844,heureSortieAscenseur:174828,monteeIdId:0,heureArrivee:75095}
{ascStackId:1,heureEntreeAscenseur:201007,heureSortieAscenseur:291329,monteeIdId:2,heureArrivee:78005}
{ascStackId:1,heureEntreeAscenseur:120919,heureSortieAscenseur:255396,monteeIdId:3,heureArrivee:78065}
{ascStackId:0,heureEntreeAscenseur:259525,heureSortieAscenseur:301135,monteeIdId:0,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:161807,heureSortieAscenseur:213340,monteeIdId:2,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:138244,heureSortieAscenseur:277069,monteeIdId:0,heureArrivee:86115}
{ascStackId:1,heureEntreeAscenseur:95519,heureSortieAscenseur:147919,monteeIdId:3,heureArrivee:89647}
{ascStackId:0,heureEntreeAscenseur:259396,heureSortieAscenseur:277379,monteeIdId:2,heureArrivee:97991}
{ascStackId:1,heureEntreeAscenseur:103838,heureSortieAscenseur:187951,monteeIdId:2,heureArrivee:98020}
{ascStackId:0,heureEntreeAscenseur:185028,heureSortieAscenseur:216797,monteeIdId:0,heureArrivee:100820}
{ascStackId:1,heureEntreeAscenseur:110038,heureSortieAscenseur:177751,monteeIdId:2,heureArrivee:101413}
{ascStackId:1,heureEntreeAscenseur:160968,heureSortieAscenseur:288929,monteeIdId:2,heureArrivee:102635}
{ascStackId:1,heureEntreeAscenseur:216151,heureSortieAscenseur:292529,monteeIdId:2,heureArrivee:103351}
{ascStackId:1,heureEntreeAscenseur:174306,heureSortieAscenseur:233290,monteeIdId:1,heureArrivee:104642}
{ascStackId:1,heureEntreeAscenseur:111238,heureSortieAscenseur:144971,monteeIdId:2,heureArrivee:105157}
{ascStackId:0,heureEntreeAscenseur:283418,heureSortieAscenseur:307218,monteeIdId:1,heureArrivee:105379}
{ascStackId:0,heureEntreeAscenseur:284618,heureSortieAscenseur:308418,monteeIdId:1,heureArrivee:105379}
{ascStackId:0,heureEntreeAscenseur:487044,heureSortieAscenseur:530174,monteeIdId:3,heureArrivee:107197}
{ascStackId:0,heureEntreeAscenseur:135863,heureSortieAscenseur:156463,monteeIdId:3,heureArrivee:107315}
{ascStackId:1,heureEntreeAscenseur:132775,heureSortieAscenseur:256596,monteeIdId:3,heureArrivee:108576}
{ascStackId:0,heureEntreeAscenseur:158863,heureSortieAscenseur:205119,monteeIdId:3,heureArrivee:111982}
{ascStackId:1,heureEntreeAscenseur:146244,heureSortieAscenseur:172177,monteeIdId:0,heureArrivee:112982}
{ascStackId:1,heureEntreeAscenseur:184106,heureSortieAscenseur:234490,monteeIdId:1,heureArrivee:113133}
{ascStackId:0,heureEntreeAscenseur:157663,heureSortieAscenseur:180591,monteeIdId:3,heureArrivee:113579}
{ascStackId:0,heureEntreeAscenseur:162972,heureSortieAscenseur:215597,monteeIdId:0,heureArrivee:115108}
{ascStackId:0,heureEntreeAscenseur:207362,heureSortieAscenseur:221690,monteeIdId:1,heureArrivee:115108}
{ascStackId:0,heureEntreeAscenseur:161772,heureSortieAscenseur:214397,monteeIdId:0,heureArrivee:115108}
{ascStackId:1,heureEntreeAscenseur:147444,heureSortieAscenseur:247302,monteeIdId:0,heureArrivee:115144}
{ascStackId:1,heureEntreeAscenseur:160975,heureSortieAscenseur:257796,monteeIdId:3,heureArrivee:122909}
{ascStackId:1,heureEntreeAscenseur:167175,heureSortieAscenseur:258996,monteeIdId:3,heureArrivee:122909}
{ascStackId:0,heureEntreeAscenseur:343995,heureSortieAscenseur:384256,monteeIdId:2,heureArrivee:126047}
{ascStackId:0,heureEntreeAscenseur:3704226,heureSortieAscenseur:3743820,monteeIdId:1,heureArrivee:126349}
