{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:5677398,totalTransportTime:623117355,nbPersonneTransportees:3602,failed:false,maxTransportTime:822143}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:0,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:28239,heureSortieAscenseur:54305,monteeIdId:1,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:2,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:44027,monteeIdId:0,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:40501,monteeIdId:3,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:53105,monteeIdId:1,heureArrivee:14224}
{ascStackId:0,heureEntreeAscenseur:298786,heureSortieAscenseur:329919,monteeIdId:2,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:60338,heureSortieAscenseur:105599,monteeIdId:3,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:30565,heureSortieAscenseur:45709,monteeIdId:1,heureArrivee:17921}
{ascStackId:0,heureEntreeAscenseur:24494,heureSortieAscenseur:70227,monteeIdId:0,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:30370,heureSortieAscenseur:46970,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:29170,heureSortieAscenseur:45770,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:27970,heureSortieAscenseur:44570,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:26738,heureSortieAscenseur:40938,monteeIdId:3,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:141796,heureSortieAscenseur:166129,monteeIdId:1,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:54701,heureSortieAscenseur:119148,monteeIdId:3,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:52970,heureSortieAscenseur:87370,monteeIdId:2,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:25538,heureSortieAscenseur:59138,monteeIdId:3,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:105693,heureSortieAscenseur:132159,monteeIdId:0,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:70538,heureSortieAscenseur:106799,monteeIdId:3,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:77967,heureSortieAscenseur:122748,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:76767,heureSortieAscenseur:121548,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:60305,heureSortieAscenseur:83838,monteeIdId:1,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:141043,monteeIdId:0,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:50509,heureSortieAscenseur:83727,monteeIdId:1,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:59105,heureSortieAscenseur:114771,monteeIdId:1,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:57905,heureSortieAscenseur:94038,monteeIdId:1,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:51770,heureSortieAscenseur:73570,monteeIdId:2,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:50570,heureSortieAscenseur:72370,monteeIdId:2,heureArrivee:35618}
{ascStackId:0,heureEntreeAscenseur:49370,heureSortieAscenseur:71170,monteeIdId:2,heureArrivee:35618}
{ascStackId:1,heureEntreeAscenseur:56705,heureSortieAscenseur:126627,monteeIdId:1,heureArrivee:36240}
{ascStackId:0,heureEntreeAscenseur:49309,heureSortieAscenseur:71871,monteeIdId:1,heureArrivee:37241}
{ascStackId:0,heureEntreeAscenseur:48170,heureSortieAscenseur:86170,monteeIdId:2,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:48109,heureSortieAscenseur:99724,monteeIdId:1,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:46909,heureSortieAscenseur:114868,monteeIdId:1,heureArrivee:42135}
{ascStackId:0,heureEntreeAscenseur:90970,heureSortieAscenseur:114636,monteeIdId:2,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:89770,heureSortieAscenseur:113436,monteeIdId:2,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:75970,heureSortieAscenseur:111036,monteeIdId:2,heureArrivee:46739}
{ascStackId:0,heureEntreeAscenseur:74770,heureSortieAscenseur:109836,monteeIdId:2,heureArrivee:47490}
{ascStackId:1,heureEntreeAscenseur:55505,heureSortieAscenseur:113571,monteeIdId:1,heureArrivee:49866}
{ascStackId:0,heureEntreeAscenseur:277344,heureSortieAscenseur:295741,monteeIdId:3,heureArrivee:50054}
{ascStackId:0,heureEntreeAscenseur:166806,heureSortieAscenseur:203118,monteeIdId:0,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:165606,heureSortieAscenseur:201918,monteeIdId:0,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:140596,heureSortieAscenseur:164929,monteeIdId:1,heureArrivee:52143}
{ascStackId:0,heureEntreeAscenseur:83666,heureSortieAscenseur:107999,monteeIdId:3,heureArrivee:52143}
{ascStackId:1,heureEntreeAscenseur:109510,heureSortieAscenseur:144643,monteeIdId:0,heureArrivee:52334}
{ascStackId:1,heureEntreeAscenseur:75567,heureSortieAscenseur:120348,monteeIdId:3,heureArrivee:53039}
{ascStackId:0,heureEntreeAscenseur:197766,heureSortieAscenseur:219349,monteeIdId:3,heureArrivee:53840}
{ascStackId:0,heureEntreeAscenseur:93093,heureSortieAscenseur:128559,monteeIdId:0,heureArrivee:54464}
{ascStackId:0,heureEntreeAscenseur:104493,heureSortieAscenseur:130959,monteeIdId:0,heureArrivee:57255}
{ascStackId:1,heureEntreeAscenseur:70240,heureSortieAscenseur:122231,monteeIdId:2,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:69040,heureSortieAscenseur:121031,monteeIdId:2,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:67840,heureSortieAscenseur:119831,monteeIdId:2,heureArrivee:57284}
{ascStackId:0,heureEntreeAscenseur:117036,heureSortieAscenseur:147631,monteeIdId:2,heureArrivee:60232}
{ascStackId:0,heureEntreeAscenseur:103293,heureSortieAscenseur:129759,monteeIdId:0,heureArrivee:60626}
{ascStackId:0,heureEntreeAscenseur:88570,heureSortieAscenseur:112236,monteeIdId:2,heureArrivee:61335}
{ascStackId:1,heureEntreeAscenseur:66640,heureSortieAscenseur:118631,monteeIdId:2,heureArrivee:61632}
{ascStackId:0,heureEntreeAscenseur:111599,heureSortieAscenseur:139241,monteeIdId:3,heureArrivee:63180}
{ascStackId:0,heureEntreeAscenseur:196566,heureSortieAscenseur:218149,monteeIdId:3,heureArrivee:72336}
{ascStackId:0,heureEntreeAscenseur:133359,heureSortieAscenseur:164406,monteeIdId:0,heureArrivee:75095}
{ascStackId:1,heureEntreeAscenseur:93166,heureSortieAscenseur:142243,monteeIdId:0,heureArrivee:78005}
{ascStackId:1,heureEntreeAscenseur:94431,heureSortieAscenseur:123431,monteeIdId:2,heureArrivee:78065}
{ascStackId:0,heureEntreeAscenseur:86066,heureSortieAscenseur:110399,monteeIdId:3,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:84866,heureSortieAscenseur:109199,monteeIdId:3,heureArrivee:82923}
{ascStackId:0,heureEntreeAscenseur:115836,heureSortieAscenseur:162775,monteeIdId:2,heureArrivee:86115}
{ascStackId:1,heureEntreeAscenseur:128231,heureSortieAscenseur:168820,monteeIdId:2,heureArrivee:89647}
{ascStackId:0,heureEntreeAscenseur:195366,heureSortieAscenseur:216949,monteeIdId:3,heureArrivee:97991}
{ascStackId:1,heureEntreeAscenseur:126348,heureSortieAscenseur:181614,monteeIdId:3,heureArrivee:98020}
{ascStackId:0,heureEntreeAscenseur:245861,heureSortieAscenseur:266658,monteeIdId:1,heureArrivee:100820}
{ascStackId:1,heureEntreeAscenseur:125148,heureSortieAscenseur:171414,monteeIdId:3,heureArrivee:101413}
{ascStackId:1,heureEntreeAscenseur:142155,heureSortieAscenseur:172755,monteeIdId:1,heureArrivee:102635}
{ascStackId:1,heureEntreeAscenseur:108310,heureSortieAscenseur:143443,monteeIdId:0,heureArrivee:103351}
