{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:6999398,totalTransportTime:1962300696,nbPersonneTransportees:3602,failed:false,maxTransportTime:6630215}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:0,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:156225,monteeIdId:3,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:1,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:34494,monteeIdId:1,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:2,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:155306,monteeIdId:2,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:157706,monteeIdId:2,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:33908,heureSortieAscenseur:54774,monteeIdId:0,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:30565,heureSortieAscenseur:45709,monteeIdId:3,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:2,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:41997,heureSortieAscenseur:58597,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:39597,heureSortieAscenseur:56197,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:40797,heureSortieAscenseur:57397,monteeIdId:2,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:24197,heureSortieAscenseur:38397,monteeIdId:2,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:67642,heureSortieAscenseur:156225,monteeIdId:3,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:156506,monteeIdId:2,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:88197,monteeIdId:2,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:48109,heureSortieAscenseur:79498,monteeIdId:3,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:110098,heureSortieAscenseur:158625,monteeIdId:3,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:89698,heureSortieAscenseur:157425,monteeIdId:3,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:158625,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:157425,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:163425,heureSortieAscenseur:189358,monteeIdId:3,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:154611,monteeIdId:0,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:59574,heureSortieAscenseur:73774,monteeIdId:0,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:161811,heureSortieAscenseur:241325,monteeIdId:0,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:157011,heureSortieAscenseur:195544,monteeIdId:0,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:55974,heureSortieAscenseur:98758,monteeIdId:0,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:57174,heureSortieAscenseur:99958,monteeIdId:0,heureArrivee:35618}
